# zeta, mu=16, NB=52, ctx.dps=22 ; rayon max des entrees certifiees = 1.060e-10 ; rayon max des quotients = 4.302e-10
# borne = mid + rad du quotient de Rayleigh certifie (Arb) ; temoins : witnesses_zeta_mu16.json (dyadiques exacts)
[] : -0.936147  (rayon 2.20e-11)
[2] : -0.820277  (rayon 3.04e-11)
[3] : -1.047279  (rayon 4.25e-11)
[5] : -0.952310  (rayon 2.62e-11)
[7] : -1.127759  (rayon 2.26e-11)
[11] : -1.176233  (rayon 3.01e-11)
[13] : -1.072296  (rayon 3.08e-11)
[2, 3] : -0.753513  (rayon 1.00e-10)
[2, 5] : -0.911502  (rayon 4.63e-11)
[2, 7] : -1.133729  (rayon 5.45e-11)
[2, 11] : -0.891777  (rayon 4.17e-11)
[2, 13] : -0.865874  (rayon 7.00e-11)
[3, 5] : -0.906496  (rayon 6.61e-11)
[3, 7] : -1.054461  (rayon 4.34e-11)
[3, 11] : -1.271918  (rayon 5.24e-11)
[3, 13] : -1.130666  (rayon 5.16e-11)
[5, 7] : -1.171426  (rayon 2.74e-11)
[5, 11] : -0.929321  (rayon 2.42e-11)
[5, 13] : -0.982046  (rayon 4.70e-11)
[7, 11] : -1.287046  (rayon 2.63e-11)
[7, 13] : -1.182604  (rayon 2.71e-11)
[11, 13] : -1.389427  (rayon 4.41e-11)
[2, 3, 5] : -0.634644  (rayon 1.49e-10)
[2, 3, 7] : -0.867668  (rayon 8.41e-11)
[2, 3, 11] : -0.860590  (rayon 7.44e-11)
[2, 3, 13] : -0.882339  (rayon 1.45e-10)
[2, 5, 7] : -0.805462  (rayon 9.37e-11)
[2, 5, 11] : -1.031357  (rayon 6.13e-11)
[2, 5, 13] : -0.911191  (rayon 4.39e-11)
[2, 7, 11] : -0.978367  (rayon 6.41e-11)
[2, 7, 13] : -1.253023  (rayon 8.17e-11)
[2, 11, 13] : -1.060565  (rayon 5.68e-11)
[3, 5, 7] : -0.687791  (rayon 1.27e-10)
[3, 5, 11] : -0.922150  (rayon 3.92e-11)
[3, 5, 13] : -0.959828  (rayon 1.12e-10)
[3, 7, 11] : -1.135657  (rayon 4.24e-11)
[3, 7, 13] : -1.040377  (rayon 3.39e-11)
[3, 11, 13] : -1.423472  (rayon 5.62e-11)
[5, 7, 11] : -1.183884  (rayon 2.09e-11)
[5, 7, 13] : -1.165778  (rayon 2.71e-11)
[5, 11, 13] : -1.088657  (rayon 9.61e-11)
[7, 11, 13] : -1.414799  (rayon 3.29e-11)
[2, 3, 5, 7] : -0.436410  (rayon 3.78e-10)
[2, 3, 5, 11] : -0.680379  (rayon 1.43e-10)
[2, 3, 5, 13] : -0.645705  (rayon 1.33e-10)
[2, 3, 7, 11] : -0.728066  (rayon 5.47e-11)
[2, 3, 7, 13] : -0.947816  (rayon 1.08e-10)
[2, 3, 11, 13] : -1.012109  (rayon 7.81e-11)
[2, 5, 7, 11] : -0.736818  (rayon 9.61e-11)
[2, 5, 7, 13] : -0.834247  (rayon 1.25e-10)
[2, 5, 11, 13] : -1.097849  (rayon 7.45e-11)
[2, 7, 11, 13] : -1.150600  (rayon 9.73e-11)
[3, 5, 7, 11] : -0.659669  (rayon 2.58e-10)
[3, 5, 7, 13] : -0.788918  (rayon 1.48e-10)
[3, 5, 11, 13] : -1.037330  (rayon 5.82e-11)
[3, 7, 11, 13] : -1.198182  (rayon 5.03e-11)
[5, 7, 11, 13] : -1.202632  (rayon 2.40e-11)
[2, 3, 5, 7, 11] : -0.360185  (rayon 4.30e-10)
[2, 3, 5, 7, 13] : -0.522119  (rayon 2.25e-10)
[2, 3, 5, 11, 13] : -0.731632  (rayon 8.03e-11)
[2, 3, 7, 11, 13] : -0.719761  (rayon 3.41e-11)
[2, 5, 7, 11, 13] : -0.731187  (rayon 3.89e-11)
[3, 5, 7, 11, 13] : -0.554284  (rayon 4.03e-11)
[2, 3, 5, 7, 11, 13] : +0.000000  (rayon 1.99e-10)
