# zeta, mu=22, NB=56, ctx.dps=22 ; rayon max des entrees certifiees = 1.140e-10 ; rayon max des quotients = 8.618e-10
# borne = mid + rad du quotient de Rayleigh certifie (Arb) ; temoins : witnesses_zeta_mu22.json (dyadiques exacts)
[2, 5, 7, 13] : -0.883715  (rayon 9.76e-11)
[2, 5, 7, 17] : -1.183185  (rayon 1.12e-10)
[2, 5, 7, 19] : -1.133346  (rayon 1.28e-10)
[2, 5, 11, 13] : -1.160256  (rayon 5.68e-11)
[2, 5, 11, 17] : -1.241061  (rayon 5.54e-11)
[2, 5, 11, 19] : -1.287390  (rayon 5.67e-11)
[2, 5, 13, 17] : -0.979191  (rayon 8.65e-11)
[2, 5, 13, 19] : -1.003349  (rayon 1.48e-10)
[2, 5, 17, 19] : -1.410974  (rayon 1.21e-10)
[2, 7, 11, 13] : -1.237193  (rayon 5.88e-11)
[2, 7, 11, 17] : -1.095845  (rayon 8.01e-11)
[2, 7, 11, 19] : -1.029601  (rayon 5.19e-11)
[2, 7, 13, 17] : -1.448350  (rayon 8.87e-11)
[2, 7, 13, 19] : -1.371547  (rayon 6.95e-11)
[2, 7, 17, 19] : -1.519881  (rayon 1.12e-10)
[2, 11, 13, 17] : -1.403615  (rayon 3.83e-11)
[2, 11, 13, 19] : -1.304085  (rayon 3.55e-11)
[2, 11, 17, 19] : -1.313452  (rayon 8.53e-11)
[2, 13, 17, 19] : -1.464289  (rayon 8.90e-11)
[3, 5, 7, 11] : -0.882569  (rayon 2.75e-10)
[3, 5, 7, 13] : -0.854366  (rayon 1.33e-10)
[3, 5, 7, 17] : -1.077234  (rayon 8.94e-11)
[3, 5, 7, 19] : -1.035440  (rayon 1.54e-10)
[3, 5, 11, 13] : -1.099904  (rayon 6.36e-11)
[3, 5, 11, 17] : -1.037816  (rayon 1.32e-10)
[3, 5, 11, 19] : -0.996391  (rayon 1.36e-10)
[3, 5, 13, 17] : -1.170493  (rayon 7.68e-11)
[3, 5, 13, 19] : -1.075393  (rayon 6.35e-11)
[3, 5, 17, 19] : -1.329529  (rayon 1.32e-10)
[3, 7, 11, 13] : -1.228988  (rayon 5.78e-11)
[3, 7, 11, 17] : -1.245067  (rayon 5.59e-11)
[3, 7, 11, 19] : -1.304361  (rayon 7.27e-11)
[3, 7, 13, 17] : -1.141012  (rayon 4.16e-11)
[3, 7, 13, 19] : -1.163585  (rayon 6.25e-11)
[3, 7, 17, 19] : -1.490918  (rayon 6.01e-11)
[3, 11, 13, 17] : -1.541655  (rayon 4.44e-11)
[3, 11, 13, 19] : -1.490491  (rayon 3.95e-11)
[3, 11, 17, 19] : -1.286362  (rayon 3.02e-11)
[3, 13, 17, 19] : -1.302694  (rayon 6.95e-11)
[5, 7, 11, 13] : -1.209433  (rayon 2.70e-11)
[5, 7, 11, 17] : -1.218018  (rayon 4.12e-11)
[5, 7, 11, 19] : -1.234809  (rayon 5.35e-11)
[5, 7, 13, 17] : -1.250046  (rayon 4.59e-11)
[5, 7, 13, 19] : -1.249038  (rayon 5.85e-11)
[5, 7, 17, 19] : -1.474061  (rayon 6.74e-11)
[5, 11, 13, 17] : -1.247868  (rayon 5.38e-11)
[5, 11, 13, 19] : -1.164660  (rayon 4.18e-11)
[5, 11, 17, 19] : -1.049390  (rayon 1.16e-10)
[5, 13, 17, 19] : -1.354615  (rayon 7.23e-11)
[7, 11, 13, 17] : -1.592928  (rayon 2.97e-11)
[7, 11, 13, 19] : -1.533284  (rayon 2.70e-11)
[7, 11, 17, 19] : -1.399969  (rayon 3.99e-11)
[7, 13, 17, 19] : -1.385712  (rayon 4.21e-11)
[11, 13, 17, 19] : -1.863839  (rayon 3.54e-11)
[2, 3, 5, 7, 11] : -0.582333  (rayon 3.62e-10)
[2, 3, 5, 7, 13] : -0.626783  (rayon 3.10e-10)
[2, 3, 5, 7, 17] : -0.876167  (rayon 1.40e-10)
[2, 3, 5, 7, 19] : -0.809951  (rayon 2.21e-10)
[2, 3, 5, 11, 13] : -0.767102  (rayon 9.97e-11)
[2, 3, 5, 11, 17] : -0.986154  (rayon 1.38e-10)
[2, 3, 5, 11, 19] : -0.974683  (rayon 1.52e-10)
[2, 3, 5, 13, 17] : -0.802630  (rayon 1.74e-10)
[2, 3, 5, 13, 19] : -0.783160  (rayon 3.95e-10)
[2, 3, 5, 17, 19] : -1.222482  (rayon 1.70e-10)
[2, 3, 7, 11, 13] : -0.796928  (rayon 1.70e-10)
[2, 3, 7, 11, 17] : -0.882487  (rayon 6.77e-11)
[2, 3, 7, 11, 19] : -0.894436  (rayon 1.01e-10)
[2, 3, 7, 13, 17] : -1.072678  (rayon 8.95e-11)
[2, 3, 7, 13, 19] : -0.994551  (rayon 6.08e-11)
[2, 3, 7, 17, 19] : -1.388308  (rayon 1.11e-10)
[2, 3, 11, 13, 17] : -1.124021  (rayon 1.07e-10)
[2, 3, 11, 13, 19] : -1.033409  (rayon 6.06e-11)
[2, 3, 11, 17, 19] : -1.162813  (rayon 1.65e-10)
[2, 3, 13, 17, 19] : -1.256370  (rayon 2.11e-10)
