# zeta, mu=11, NB=46, ctx.dps=22 ; rayon max des entrees certifiees = 9.400e-11 ; rayon max des quotients = 1.358e-10
# borne = mid + rad du quotient de Rayleigh certifie (Arb) ; temoins : witnesses_zeta_mu11.json (dyadiques exacts)
[] : -0.774520  (rayon 2.09e-11)
[2] : -0.771289  (rayon 6.73e-11)
[3] : -0.907570  (rayon 4.51e-11)
[5] : -0.926789  (rayon 2.03e-11)
[7] : -1.051376  (rayon 2.47e-11)
[2, 3] : -0.653688  (rayon 9.09e-11)
[2, 5] : -0.842012  (rayon 5.29e-11)
[2, 7] : -0.908271  (rayon 6.36e-11)
[3, 5] : -0.782244  (rayon 9.20e-11)
[3, 7] : -1.004082  (rayon 5.05e-11)
[5, 7] : -1.152379  (rayon 2.54e-11)
[2, 3, 5] : -0.516799  (rayon 1.36e-10)
[2, 3, 7] : -0.710077  (rayon 5.91e-11)
[2, 5, 7] : -0.680390  (rayon 6.08e-11)
[3, 5, 7] : -0.542140  (rayon 2.23e-11)
[2, 3, 5, 7] : +0.000000  (rayon 1.29e-10)
