Lam,cpu,h,w2,w2_tight,w2_wide,w05,peak2,peak05,sec,mem_gb_est
16.0,80,0.0125,0.13961715663316243,0.17016537838327417,0.07829926113159018,0.7691514725358453,50.44250095822771,40.83973244470196,58.64,0.26
16.0,96,0.010416666666666666,0.25613367375660195,0.28238267256986777,0.21009572983321326,1.5222615894782354,70.90052423918728,77.87276884015652,84.12,0.38
24.0,64,0.015625,-0.14666134901317762,-0.13483419830266427,-0.19195854307600255,-2.129322285538529,-13.885380918716056,-106.02889935597844,86.14,0.38
16.0,112,0.008928571428571428,0.35466406495813296,0.37769854147400295,0.31771033714358976,2.186215064246542,88.63803722485189,111.3561939037941,113.93,0.52
24.0,80,0.0125,0.01856096360273471,0.04890390777361953,-0.046766986968676816,-1.2012265568358538,23.333702633757845,-56.80722296937607,133.66,0.6
16.0,128,0.0078125,0.43987890780828676,0.46208949831158586,0.4054818232509537,2.804020198202436,104.71363474895601,141.8312929679242,149.09,0.68
32.0,64,0.015625,-0.4778811696321201,-0.4668680596775287,-0.48767927112606424,-4.5871933609748785,-82.58277177709294,-230.357140144808,153.97,0.68
24.0,96,0.010416666666666666,0.21633042238674613,0.24538415914404135,0.1423885826697151,-0.009324714562442007,60.88360104791215,1.9367844983915536,190.04,0.86
16.0,160,0.00625,0.5943391615182797,0.6099358084696032,0.5681809804434548,3.8856012566327447,132.6959395481176,195.6802632580563,230.76,1.06
32.0,80,0.0125,-0.2653187756749057,-0.24959237091020184,-0.29772847035526623,-4.106639334738719,-40.5329543635319,-205.1648700368643,238.77,1.06
24.0,128,0.0078125,0.5712635447481547,0.6005070783644173,0.5168442940934989,2.375706921614558,129.78690567661874,121.14923151923222,335.64,1.52
32.0,96,0.010416666666666666,-0.03206792453611006,-0.007498930454116089,-0.09495051009003372,-2.962476170715975,8.543492290350867,-146.5861658793778,338.76,1.52
16.0,200,0.005,0.6645601016611596,0.6752972392095563,0.6474245535349302,4.712716724546447,148.13442920467347,236.7625235983618,340.47,1.65
16.0,400,0.0025,1.0782704944510897,1.083306343180051,1.0704985337383839,7.908327688660241,228.43266002135732,396.1069460657561,1383.14,6.62
